# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) version 2, resampled to 1 nm box means.
# Source: Coddington et al. (2023), Earth and Space Science, doi:10.1029/2022EA002637
# Archive: LASP LISIRD, https://lasp.colorado.edu/lisird/latis/dap/tsis1_hsrs.csv (native 0.001-0.01 nm sampling)
# Method: unweighted mean of every native sample falling in [n, n+1) nm; bin labelled by its lower edge.
# Irradiance is solar spectral irradiance at 1 AU, W m^-2 nm^-1, solar-minimum conditions between cycles 24 and 25.
# Archive uncertainty is 0.3% over 460-2365 nm and 1.3% outside it.
# Generated by scripts/build_table.py; do not hand-edit.
wavelength_nm,irradiance_w_m2_nm,uncertainty_w_m2_nm,n_samples
344,7.289586e-01,9.476e-03,1000
345,9.912243e-01,1.289e-02,1000
346,9.251644e-01,1.203e-02,1000
347,8.979422e-01,1.167e-02,1000
348,9.814548e-01,1.276e-02,1000
349,8.167960e-01,1.062e-02,1000
350,1.149759e+00,1.495e-02,1000
351,9.871441e-01,1.283e-02,1000
352,8.870115e-01,1.153e-02,1000
353,1.065696e+00,1.385e-02,1000
354,1.153883e+00,1.500e-02,1000
355,1.072545e+00,1.394e-02,1000
356,9.915811e-01,1.289e-02,1000
357,8.394592e-01,1.091e-02,1000
358,6.436325e-01,8.367e-03,1000
359,1.091708e+00,1.419e-02,1000
360,1.012970e+00,1.317e-02,1000
361,9.158157e-01,1.191e-02,1000
362,1.081480e+00,1.406e-02,1000
363,9.640396e-01,1.253e-02,1000
364,1.044137e+00,1.357e-02,1000
365,1.209985e+00,1.573e-02,1000
366,1.283933e+00,1.669e-02,1000
367,1.219389e+00,1.585e-02,1000
368,1.072778e+00,1.395e-02,1000
369,1.284199e+00,1.669e-02,1000
370,1.165138e+00,1.515e-02,1000
371,1.328338e+00,1.727e-02,1000
372,9.743558e-01,1.267e-02,1000
373,8.839143e-01,1.149e-02,1000
374,9.662292e-01,1.256e-02,1000
375,1.087596e+00,1.414e-02,1000
376,1.082812e+00,1.408e-02,1000
377,1.288677e+00,1.675e-02,1000
378,1.410915e+00,1.834e-02,1000
379,1.042745e+00,1.356e-02,1000
380,1.254861e+00,1.631e-02,1000
381,1.176404e+00,1.529e-02,1000
382,7.827833e-01,1.018e-02,1000
383,6.837603e-01,8.889e-03,1000
384,1.031557e+00,1.341e-02,1000
385,1.016117e+00,1.321e-02,1000
386,1.040110e+00,1.352e-02,1000
387,9.650089e-01,1.255e-02,1000
388,9.778800e-01,1.271e-02,1000
389,1.235657e+00,1.606e-02,1000
390,1.201663e+00,1.562e-02,1000
391,1.425058e+00,1.853e-02,1000
392,1.059860e+00,1.378e-02,1000
393,4.577936e-01,5.951e-03,1000
394,1.070406e+00,1.392e-02,1000
395,1.374103e+00,1.786e-02,1000
396,8.034203e-01,1.044e-02,1000
397,9.161687e-01,1.191e-02,1000
398,1.574482e+00,2.047e-02,1000
399,1.615290e+00,2.100e-02,1000
400,1.703585e+00,8.535e-03,1000
