# Hipparcos bright-star supplement for Gaia DR3 — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2016.00 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.0222 +1.0109*Hp -0.4422*(B-V) when B-V is present,
# else the fallback G ≈ -0.2005 +0.9990*Hp.
hip,ra_j2016,dec_j2016,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
49149,150.466337,-59.981943,1.9900,-7.6700,3.9100,-0.1040,8.3779
102035,310.154317,37.397438,6.5900,85.6000,-2.8900,0.9400,7.7040
80707,247.172332,-63.143398,1.6200,6.7300,7.1400,0.4050,8.7594
43609,133.226602,-43.753168,4.6400,18.1100,4.6900,1.0800,7.2175
31396,98.723670,16.205732,4.0900,0.3700,-10.2700,0.8950,6.3086
15855,51.063029,67.455104,6.2600,58.4700,-15.0700,0.5580,7.6000
92204,281.873350,49.431983,4.1400,13.6000,-9.8100,0.4430,7.0948
22166,71.531484,84.029590,4.4800,-3.1100,-37.1300,0.9740,6.9813
6745,21.709441,45.677439,2.3500,-6.4300,-2.0800,-0.0700,7.6856
27346,86.884223,63.598936,6.7700,-11.2300,19.7000,1.0100,6.1364
76339,233.890535,-51.596317,3.1000,-17.8900,-15.1200,1.0710,8.4952
86119,264.002602,-38.102464,10.2800,-11.4200,-51.1600,0.2730,6.9172
78401,240.083318,-22.621874,8.1200,-8.6700,-36.9000,-0.1170,2.3889
20105,64.649441,60.493787,4.7200,16.6500,-12.9800,0.2900,7.3040
42481,129.919094,-49.287643,4.4700,-22.5300,33.6700,1.1910,8.0479
30417,95.938178,14.975129,0.9600,12.5800,-19.2900,1.1290,8.4190
43659,133.413821,-52.550838,3.9000,-11.0200,10.0300,0.0960,9.0173
55492,170.464793,-33.301112,0.9300,-9.0300,18.1600,1.3170,7.2542
82666,253.490299,-46.917018,1.5700,-2.2400,-1.9200,0.1200,7.9756
92866,283.848202,-37.386605,7.6900,7.6200,-0.5500,1.1220,6.0768
94274,287.830211,-20.347296,2.4600,-1.9300,-10.2400,-0.0300,7.8397
65691,202.023822,-43.768708,5.1000,-20.3000,-14.4900,1.0800,6.8232
90523,277.071092,-23.569100,9.4000,-28.7400,-59.8200,0.7640,8.4591
35168,109.028739,-30.435344,1.4400,-2.5700,3.4100,-0.1830,7.3312
37048,114.199168,6.074671,2.4900,-13.5800,-3.4800,0.0110,7.7610
83321,255.443055,-51.131225,10.0800,-10.8800,-44.8300,0.2790,6.3990
80959,247.974263,-26.011404,8.6000,-52.9700,-5.0800,0.5630,8.1133
48392,147.982170,-32.979989,4.7800,5.0000,-5.9500,1.0110,6.8537
69949,214.712330,-58.686489,2.5600,-7.8300,-11.9600,-0.0020,7.3623
49294,150.923321,-25.316696,5.1200,-18.1000,5.6500,0.0200,6.7966
32557,101.901290,-17.508526,3.6100,-4.9100,6.5600,-0.0290,7.1620
50672,155.208519,-63.447771,13.9000,-183.7000,78.3200,0.7000,8.3055
94302,287.919442,56.859426,9.5700,48.0900,48.0000,1.0080,4.7625
35529,109.987748,-4.583374,3.3400,-16.5000,-3.3300,0.1100,7.8991
97210,296.351427,-30.903072,4.2700,5.5800,-15.6900,0.1230,6.8521
23733,76.534886,33.918610,6.3800,10.2300,-17.2000,-0.0500,7.1713
110661,336.264416,51.255991,2.8500,50.2900,25.2300,1.6810,5.8701
82534,253.055404,-26.919811,6.6700,-13.3300,-30.2400,0.3860,8.2421
24760,79.629710,75.947053,7.3100,7.6600,5.8900,1.0720,7.0492
53099,162.942235,-29.652605,12.4000,-108.7700,-36.6400,0.5460,7.8277
40974,125.423121,-42.835855,3.2900,-5.2100,6.0200,0.0060,7.8137
76679,234.863433,-51.077965,3.1000,-4.2000,-5.9200,0.6910,8.1477
69358,212.949908,-62.026353,1.4400,-5.2600,-2.0100,0.0190,7.7979
96816,295.193688,44.528619,12.6100,31.1800,22.8800,0.5450,7.6765
67537,207.580862,-39.900895,8.8900,6.7000,-8.8900,0.9920,6.0837
99839,303.847965,42.400959,0.6500,-3.6600,-6.0800,0.8900,8.3428
75638,231.806354,-49.454648,12.0000,-44.9900,-27.8200,0.1880,7.4300
93920,286.860497,6.162703,8.4300,2.5100,13.6200,0.1360,7.1497
33716,105.067429,-30.678578,2.4100,-0.3200,9.8400,1.0610,7.5797
67687,207.989980,-58.431661,1.6200,-3.4200,-3.1800,0.0430,8.6667
41717,127.601854,-7.040145,5.3900,-6.7000,-11.1800,0.0390,7.6070
52903,162.297217,-57.969508,3.4500,-19.2700,4.2900,-0.0500,8.1620
74658,228.833931,-55.486399,9.8500,-68.6600,-68.3800,0.6870,8.2809
41323,126.466193,-42.153012,4.0100,-16.4700,13.3600,-0.1420,5.5945
62867,193.278240,-48.943427,10.7700,-79.1800,-25.3400,1.3440,3.8052
97546,297.391574,-37.781012,22.2300,8.2600,-104.0200,0.5740,7.0672
87772,268.956869,-71.896283,3.8700,8.0500,31.1400,1.0370,7.6914
88330,270.596396,-23.033356,-3.5900,-4.5400,-1.2800,,6.9324
36987,114.034937,-27.503828,1.9900,-3.8000,3.8600,1.5070,6.5131
86425,264.882012,-39.780513,11.7600,17.6400,-26.0200,0.4600,7.9769
37664,115.925476,-40.934507,15.1300,131.1400,-171.2300,1.1040,4.7099
94479,288.434262,34.405524,2.3700,1.0600,2.2600,0.0110,8.6303
91540,280.023615,-37.505261,7.8800,-0.5200,-10.5500,0.5060,8.3205
27046,86.035092,61.476540,10.2600,-11.0800,1.0700,0.9020,5.8607
34482,107.192372,16.495035,1.9100,-1.2900,-1.6900,0.0430,7.9692
38370,117.918118,-42.888166,1.8500,-6.4400,8.1400,-0.1810,6.2183
29210,92.401342,-5.711421,16.3900,64.7600,1.8000,0.3520,6.0938
20354,65.388333,46.498722,7.0300,21.4100,-34.9700,-0.0220,4.8843
72633,222.758769,-61.932554,5.2800,-46.3900,1.8500,1.2100,8.4742
95709,292.013013,-22.874365,2.9400,16.0100,0.0200,0.9640,8.0775
40254,123.325118,-5.640675,1.1800,-0.5100,-0.3400,0.0700,8.7963
50204,153.736920,-67.294993,15.0400,-161.4500,51.8700,0.5700,8.1810
92139,281.693047,-14.848070,2.2900,6.3900,-2.0600,0.4860,8.5214
51524,157.844038,-45.382711,2.6000,-37.3900,6.5100,0.4350,8.7562
63744,195.966188,-53.825934,4.8500,-37.4000,13.1800,1.0470,8.0610
68863,211.512232,-49.279369,3.2500,-28.5200,-7.3600,1.1500,8.3693
100548,305.825668,40.759029,0.0800,-3.2300,-5.7400,0.8570,6.7500
35801,110.765082,20.555441,7.3600,-42.5900,-0.9800,0.3490,7.6924
29895,94.423779,-16.815899,5.7500,-14.8700,2.0700,1.2930,4.6567
80910,247.845071,-26.537810,14.4800,-28.1600,-37.5600,1.0850,5.6787
58583,180.207966,-54.726154,2.5400,16.0900,-7.0000,1.0000,8.6580
67824,208.406059,-58.439720,3.1700,-8.3600,-7.8000,0.0400,8.1828
44804,136.969218,-7.139330,15.7600,80.0000,-67.0200,0.6700,8.0559
77729,238.052624,-29.886932,12.4100,-136.5200,-85.5100,0.9910,6.0437
81229,248.855381,-48.698906,13.3000,-27.1400,-131.9500,0.6530,8.3869
44779,136.891639,-51.900002,1.1700,-2.3800,-3.2200,0.9490,8.5189
29809,94.159597,-20.640549,1.1300,3.4600,5.6500,-0.1040,8.6711
81858,250.785209,-31.345289,1.4300,-9.5400,-14.7100,1.1730,8.3794
71683,219.868520,-60.831834,742.1200,-3678.1900,481.8400,0.7100,-0.3019
63527,195.267960,-53.135817,7.5300,-31.0700,-17.2100,0.3580,7.7389
85583,262.335215,-38.645974,11.6400,-8.6300,-76.1900,0.5780,8.3392
24594,79.137439,42.667685,5.7000,-8.5500,11.0000,0.3550,8.0233
90564,277.196022,-36.995753,3.8700,-15.0900,20.1500,1.1150,7.9198
49712,152.234228,-51.811258,3.0100,-14.6000,0.5100,-0.1200,4.9782
117387,357.026520,63.817331,7.2500,27.3900,-9.2900,0.1030,7.4473
41299,126.397979,2.102137,5.4200,-21.4200,-16.4000,1.5280,5.1492
72853,223.361678,-62.519552,3.1300,-17.0500,-11.4300,1.4540,8.2248
55940,171.972837,-37.288627,2.5200,41.3700,5.9100,1.1400,7.9694
101214,307.746788,36.935821,2.0600,-0.2000,-4.1800,0.9690,5.8715
48939,149.770922,-65.983310,1.6700,-9.6400,3.0300,-0.0030,7.6458
71492,219.299834,-62.010910,3.7100,-2.8900,-2.7300,1.0050,6.4318
53048,162.806347,-32.430054,8.0100,104.2700,2.6700,0.6070,8.7611
90124,275.870153,-36.237963,10.2100,7.6100,5.3400,1.0150,5.1536
78058,239.058708,-31.785863,19.8100,47.8300,4.2500,0.4620,6.1766
69996,214.850843,-46.058110,9.2700,-12.8100,-3.7900,-0.1840,3.6923
38021,116.885429,9.633237,23.8000,-42.5700,152.5100,0.5760,6.9248
36775,113.459374,-43.113732,3.1200,0.2400,-0.3300,1.7580,5.9978
43413,132.639405,-46.529170,1.2100,-2.7600,3.8400,-0.2050,5.2584
83009,254.430557,-37.764253,5.1600,-7.3600,-70.0000,1.1270,7.8841
66505,204.492077,-58.208158,3.9300,-6.4200,-8.2700,0.0800,8.2157
23748,76.568818,56.612514,5.3000,8.1400,-26.3600,0.2680,8.7998
99601,303.192679,32.313451,0.6500,5.6100,-10.2900,0.9820,8.0696
41037,125.628260,-59.509382,5.1600,-25.3400,22.7200,1.1960,1.3736
94046,287.204886,-33.353615,6.3200,-4.0800,-13.4800,1.0250,7.9596
37751,116.142354,-24.674056,1.7500,-4.2700,5.2300,-0.1910,5.7880
54143,166.141066,-52.454471,1.6400,-28.2700,30.1700,1.0050,8.3526
35117,108.909637,-26.856724,3.1400,-4.9900,6.4500,-0.0800,9.1255
78316,239.864941,-27.016335,2.2700,-9.1300,-9.3300,1.0960,6.6342
33179,103.588964,21.161076,7.2100,25.5000,-56.4000,1.4000,5.9842
58528,180.038879,-57.117253,11.1700,-38.0300,-7.8700,0.4840,8.4414
33350,104.049018,18.800191,4.5300,-6.6100,2.8300,-0.0470,8.2213
64471,198.207438,-61.545187,6.1500,-53.9900,-15.0400,0.3450,7.2089
87799,269.035999,-6.672292,8.2500,-4.5800,-7.4200,0.4800,8.0894
53560,164.348820,-51.827656,-0.0600,-7.6700,5.3100,-0.0560,9.0138
80220,245.641681,-33.675483,12.8400,-29.3400,-22.7300,0.5500,8.2808
88164,270.099504,-6.616020,3.7900,4.8200,-2.8100,0.2940,8.4142
95731,292.084862,-35.134518,12.3200,-18.1300,-166.9600,0.6800,8.4761
31909,100.032064,16.719305,2.2200,2.8800,-3.0700,0.0920,8.9989
4237,13.521222,57.014072,8.4900,28.2500,-8.2200,0.3800,7.3451
38901,119.417068,-30.334538,2.2600,-8.1100,7.1400,0.1510,4.7674
27241,86.606308,-4.007423,0.4500,0.1800,-5.8000,0.2280,8.1603
99280,302.300779,42.230289,3.7900,4.1500,0.6400,-0.0030,8.2018
82154,251.756926,-39.533971,4.0900,-11.4700,-22.0800,-0.0290,7.0306
69679,213.952224,-37.599827,3.4200,-16.6100,-10.1800,1.2450,8.0645
101703,309.212092,44.911332,7.0800,18.8100,24.1600,0.3750,8.0751
76716,234.984520,-59.909295,32.3400,-121.9000,-215.2000,0.5050,5.8138
53346,163.653810,-38.749092,0.7500,-27.6000,7.1300,0.3190,8.4840
55411,170.221749,-52.225332,3.5100,-37.9800,-27.1000,1.1320,8.6098
56241,172.936679,-51.654097,2.8400,-11.5500,0.4100,-0.0240,8.7570
80973,248.026043,-48.809115,4.4800,-0.5600,-5.7200,1.6830,8.1842
95852,292.425417,57.965426,12.4600,22.5900,-61.5600,0.4670,8.7219
51703,158.463802,-27.349778,4.8200,-26.4600,-21.2600,1.3390,6.9311
30693,96.745197,-16.999404,1.8300,-6.9700,5.1700,-0.0340,8.2863
98264,299.500084,-28.592912,7.4400,32.7400,-16.5100,0.4600,8.7654
87679,268.625310,-26.632709,20.7600,-0.9800,-138.8800,0.7580,8.3304
71039,217.927138,-45.869879,4.8900,-53.3300,-57.3500,0.8910,8.1705
29981,94.666816,21.180566,1.7600,5.6100,-12.7200,1.2500,7.3951
96338,293.792670,35.628463,-1.3400,0.4600,-1.1500,-0.0600,8.7022
110356,335.266298,55.985845,3.3500,11.7700,3.2600,-0.0440,8.1391
50948,156.074095,-35.647202,4.4500,-10.0100,7.1700,0.3550,8.3064
43812,133.845968,-46.891081,2.9600,-6.8300,1.5000,0.2000,8.2839
34231,106.450951,11.224076,2.3100,-9.0700,-2.7300,-0.0100,7.8309
79411,243.092170,-61.929185,6.8200,-28.2600,-35.4600,0.0230,7.1087
67611,207.809477,-63.890018,3.1000,-9.5100,-3.4400,0.0400,9.0421
3942,12.650772,56.612860,2.4700,2.6800,-2.2800,0.0390,8.8404
