# Hipparcos bright-star supplement — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2015.00 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.3780 +0.9685*Hp -0.5216*(B-V) when B-V is present,
# else the fallback G ≈ +0.1472 +0.9499*Hp.
hip,ra,dec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
107167,325.617414,-8.465156,7.6300,-31.1600,-13.0100,0.4200,8.0327
44028,134.492744,-28.871001,2.8100,-2.5700,-0.4800,0.1700,8.4537
29235,92.453337,8.744475,-0.1300,4.4300,-4.6500,1.6160,7.0796
89031,272.560708,-42.403330,0.1200,-4.3900,-20.1900,0.9640,7.5262
95428,291.175082,22.201175,29.9700,134.9800,-84.0900,0.7180,7.5674
8856,28.475871,49.942952,3.8100,-5.7000,-2.5200,1.3480,6.3284
52165,159.864676,-32.813835,2.1100,17.0800,-16.5900,1.1320,7.7485
94995,289.947891,-62.897620,6.3400,7.0800,-98.2500,0.7110,7.6679
101188,307.649984,18.549815,3.8600,15.1300,6.9800,0.0950,8.7833
99639,303.325304,46.815683,4.5500,13.3900,1.9300,0.1000,4.9746
98576,300.351334,-60.736090,1.8100,5.5700,-7.5000,-0.0200,7.7489
51177,156.792098,-62.019273,12.9200,-90.1600,-92.1700,0.5600,7.4174
64569,198.518127,-2.807000,7.0000,-34.4600,-3.3300,1.2930,6.5411
28442,90.079598,-31.024483,66.8200,-378.6300,1015.1900,1.1370,7.3876
30115,95.060737,30.369030,8.4500,-16.4800,-53.4900,0.3970,7.9285
4594,14.704019,-13.661018,5.9700,-30.4700,-24.4400,0.4090,8.8229
38689,118.810497,-42.549275,4.9700,-19.4000,25.7600,0.1000,8.7711
40329,123.519434,-25.711748,1.5000,-6.8700,4.3200,0.3640,8.8367
51848,158.893811,-64.290725,1.3000,-17.2500,1.8600,0.0230,9.0243
67330,207.001125,-65.839504,3.7100,-13.2200,-8.1700,-0.0040,8.5154
109222,331.906273,-24.393867,2.7400,7.1200,-54.5200,1.0350,7.4020
26048,83.358567,0.621361,2.7200,-1.6500,-1.4000,-0.1090,8.2505
40456,123.908878,-74.228652,3.0900,-0.2300,11.5500,0.0380,8.9390
75206,230.533583,-47.928344,29.2700,-141.4400,-132.5800,0.5150,4.9421
33181,103.592242,19.595192,-1.2800,-5.5700,-4.0100,-0.0840,8.2085
10009,32.229894,7.284437,1.0600,22.2500,-11.6800,1.1110,8.3793
52315,160.347617,8.562581,0.2100,-27.0400,-12.5000,0.6000,7.5127
51713,158.485944,-80.516522,11.9600,7.3400,58.2700,0.4150,7.1153
67554,207.640329,-52.292231,3.3500,-9.2900,-0.4800,0.7950,8.3311
46147,141.164439,-58.689002,0.7600,-6.9000,6.2700,-0.0060,8.0322
94790,289.306212,29.832707,-0.1200,-1.8800,-4.1300,0.0390,9.0450
439,1.381314,-37.367105,229.3300,5634.0700,-2337.9400,1.4620,7.9057
107205,325.705163,69.053636,2.2000,8.0200,-9.8000,1.5720,6.8701
8269,26.633264,-2.340693,2.2900,30.3800,-1.8800,0.9410,8.0709
100167,304.769658,-75.672271,2.9700,10.3300,-32.0700,1.1430,7.8493
51416,157.520950,-47.354220,4.7600,-21.2200,7.7300,0.0780,8.3951
109691,333.291751,18.279661,4.3400,3.9100,-36.3000,1.3740,5.9565
91852,280.900569,36.556845,7.4100,21.5400,57.6100,1.0400,5.6852
102748,312.285046,37.523470,3.4000,-3.2100,1.7000,1.3350,8.0300
104033,316.147726,50.470489,3.3200,9.1500,4.6500,0.0560,8.3582
103191,313.593309,28.521972,1.8400,-0.0100,-5.8000,-0.1470,6.7983
11293,36.360009,-66.494021,3.5400,-20.6700,1.2100,1.5110,5.7785
39538,121.195292,79.479388,9.8800,-36.4600,-53.7500,-0.0400,5.6190
117135,356.202188,-23.178393,1.0000,-8.2900,-2.9600,1.2440,8.2518
37028,114.138315,-58.377208,9.0600,-10.1000,24.5400,0.3980,8.0055
107036,325.162826,54.324650,4.0500,-8.2700,-12.4400,1.4800,7.8672
8134,26.149719,3.223658,1.9500,-20.3100,-12.3000,1.6050,6.0588
90841,277.984024,-59.562622,7.2700,-20.7600,-14.4700,0.4530,7.6378
95370,291.025257,36.452421,9.0500,5.5900,78.4900,1.0740,6.0549
68329,209.812803,-40.124408,7.8400,-59.1200,-26.5900,0.4030,7.8382
81950,251.090879,-26.325034,2.7800,27.0900,-12.1500,1.5030,7.9811
48437,148.126550,-8.105227,12.4700,-61.8300,-47.2100,0.0380,5.2684
47743,145.985775,-48.107959,1.9500,-17.6900,9.4500,0.1570,8.3830
106155,322.532150,29.890314,4.7800,3.9700,1.1300,0.0590,8.4050
98029,298.804912,-7.806783,5.1700,10.5400,-10.3000,1.5750,6.7330
110891,336.998342,-5.938770,3.6600,-9.1400,-16.8200,1.0630,7.7942
45860,140.262630,34.392623,14.6900,-222.8000,14.7800,1.5500,2.6106
1743,5.514220,62.185073,-0.3700,-2.7900,-1.8200,0.1400,8.3918
113074,343.506200,60.853231,5.7400,-4.7100,-21.6100,0.2230,8.5423
74975,229.829880,1.763268,40.4600,373.2400,-513.6400,0.5400,4.9775
95383,291.052179,-68.258929,2.0400,11.5900,-12.5100,0.0040,7.9495
95599,291.665192,32.345620,1.9800,27.6900,-14.5800,0.4410,8.6222
58758,180.754839,-63.312905,14.1900,-152.5300,6.1000,0.2800,4.4158
26781,85.337484,29.487311,6.4900,16.3400,-25.7200,-0.0810,6.6186
43092,131.650207,-81.123260,3.7000,-4.0400,1.6400,1.1690,7.9326
54561,167.472560,-32.367652,9.5400,17.5400,-29.6000,0.0270,5.9715
64918,199.595747,-43.607486,5.1600,-18.5400,0.6600,-0.0460,8.7407
83694,256.585681,-52.231968,4.2300,-2.9800,2.6400,1.3460,8.0049
39510,121.130594,-67.208117,8.7400,-16.0500,25.9800,0.2160,7.6839
46390,141.896786,-8.658464,18.4000,-14.4900,33.2500,1.4400,1.5542
90691,277.559439,-49.489042,4.3600,1.7800,-8.0400,0.5010,7.7096
113488,344.748594,-8.213305,5.1100,7.0100,1.1900,-0.0140,8.5012
93605,285.932256,-22.712065,3.1400,-13.6900,-28.6700,1.3360,7.8164
48775,149.223571,-81.836527,3.1600,-19.5400,6.4200,0.1750,8.6351
109834,333.693412,36.155466,3.3900,-20.1200,2.9500,1.3610,7.2029
37388,115.120886,-30.049436,1.6700,-5.9400,5.1400,-0.1500,8.0104
43496,132.893174,-7.177248,6.6800,-48.7900,-5.3400,0.1500,5.6749
8991,28.962743,-78.348327,24.2000,103.0100,53.0500,0.4480,6.1005
109866,333.771094,-19.895648,3.2100,31.3600,-11.8100,1.1620,8.1493
43316,132.362850,-30.934043,11.4900,-100.5100,-38.8600,0.4520,7.7545
44066,134.621933,11.857579,18.7900,41.4500,-29.2200,0.1410,4.4302
111270,338.133985,23.399364,8.1400,37.7900,-10.2900,0.2620,8.0183
73229,224.495265,-63.287743,10.2100,-33.6400,-53.4200,0.4840,8.1156
10944,35.242787,50.151336,9.1500,38.8400,-31.2300,-0.0890,5.8189
55517,170.561509,-56.602696,2.5700,-13.7500,17.5800,1.4460,6.6259
2481,7.880651,21.110273,3.2100,20.5500,5.7200,1.6060,6.7846
31742,99.606364,-66.085437,4.0400,-6.1400,40.3000,1.0900,6.7341
70043,214.992889,-36.853294,6.5600,-0.5300,-7.4700,0.8370,8.5803
27664,87.862803,10.252438,4.2600,-5.4600,-6.1200,0.0100,8.9245
6432,20.654244,1.726146,3.8900,65.4500,-44.7800,1.4820,5.6193
26602,84.817569,-17.849397,2.5000,-6.9700,2.7800,-0.0950,6.6259
106942,324.882362,-0.051057,23.1300,237.7200,12.6800,0.5140,6.5600
3917,12.567937,63.171344,0.4900,-1.8600,-1.7000,0.5350,7.9146
1888,5.965862,18.579453,5.6200,-14.1200,2.6200,0.3790,8.8870
95211,290.539384,-42.016155,10.1400,-55.8300,-30.8300,1.1290,5.9196
76524,234.421532,-45.701097,3.8600,4.1300,-8.3500,1.1200,7.7645
40105,122.883199,-70.511408,2.8800,-4.0900,8.9800,-0.0450,8.9920
105115,319.395787,-5.468088,4.1000,15.5300,-3.3400,1.6290,7.5280
53485,164.128846,5.273195,8.3900,-24.7100,-35.0300,0.2120,7.8119
71447,219.171971,-71.083081,2.0400,-25.3400,-11.0700,1.1400,8.4320
3821,12.284718,57.812856,167.9900,1087.1100,-559.6500,0.5870,3.4228
45158,137.994487,-19.747434,10.8500,-55.9300,46.4500,0.9770,5.4081
39121,120.057348,-31.196302,8.9800,-57.2200,36.0500,0.2500,7.8793
31073,97.811939,9.790263,1.0500,-1.2000,-4.1800,0.0220,8.9183
79881,244.574416,-28.614440,23.2300,-33.7900,-100.5900,0.0080,5.0226
82587,253.241461,31.701603,33.3000,-91.1500,-17.1000,0.3190,5.3833
17015,54.727974,42.391758,20.2400,189.7500,-298.6300,0.8100,8.6525
107623,326.991161,51.626934,3.2500,-10.8400,4.9600,0.1000,7.9382
57411,176.541375,-24.873611,5.4400,-11.6300,-32.3500,1.4380,6.9303
3861,12.394597,-10.961314,6.6100,39.7300,7.6400,1.1870,7.1387
31940,100.120607,77.995757,5.6300,14.2500,-6.0200,1.4880,5.1707
103890,315.754385,15.760502,3.1600,12.3900,-4.9900,0.9390,7.3262
7980,25.624311,-12.320544,0.8000,-7.7900,-1.9200,0.4130,8.2979
52444,160.813869,-60.201166,-0.9100,-5.7600,2.0100,-0.0640,8.5273
59607,183.354164,-38.929237,1.6000,-29.0900,-11.6900,-0.1440,6.0413
87454,268.038525,42.857066,2.9500,6.6100,-14.2300,-0.0010,7.7003
85455,261.949905,-12.186677,7.2500,9.1400,4.7100,,7.8321
79754,244.180387,-53.811112,4.0500,8.6200,-0.6700,1.6960,4.7716
39506,121.125486,9.267993,33.8800,268.5900,16.0800,0.6320,7.0796
37921,116.567372,10.768150,10.4400,-30.8700,-24.4500,0.0180,5.4532
55415,170.226805,-58.703507,10.1600,-302.5700,25.6100,0.9960,6.6573
116097,352.862595,-44.843664,8.7900,45.3000,-20.4200,1.0140,5.6794
31670,99.416701,-38.628290,2.1800,-3.0900,6.0600,-0.1130,8.0880
107418,326.362163,61.120798,0.6400,-3.0800,-1.8600,0.4740,4.2468
4211,13.428987,-8.308054,3.6800,5.3600,2.0800,1.0030,7.7964
116231,353.243256,-37.818111,18.2800,96.3900,37.5800,-0.0950,4.6695
70993,217.804472,-34.681192,3.0800,-10.6500,-15.2300,0.0580,7.8729
37524,115.527732,-30.186291,1.2700,-6.6600,5.0700,-0.1500,7.1872
98175,299.276398,19.564041,0.7000,-0.0800,-5.9000,-0.0900,8.6668
29745,93.970626,-40.171798,3.6500,4.2300,0.0500,1.0530,8.4483
3045,9.672718,46.956747,9.1300,-65.5500,-12.4300,0.9600,6.3855
101867,309.630911,21.201163,15.2700,74.3800,-2.4800,-0.0300,5.0521
12218,39.336903,39.896054,3.5400,12.5500,-11.0800,-0.1140,6.7714
